id,source_domain,end_domain
58,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Induced_radioactivity
59,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Transuranium_elements
60,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Statistical_mechanics
61,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Quantum_mechanics
62,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuclear_physics
63,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Particle_physics
64,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Wolfgang_Pauli
65,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Pauli_exclusion_principle
66,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Ideal_gas
67,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%E2%80%93Dirac_statistics
68,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermion
69,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Electron
70,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Beta_decay
71,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Conservation_of_energy
72,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutrino
73,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%27s_interaction
74,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Weak_interaction
75,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fundamental_interaction
76,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutron
77,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Slow_neutron
